VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,month,LocationID,Borough,Zone,service_zone
2,2023-01-16 02:01:22,01/16/2023 02:07:45 AM,N,1.0,65,33,1.0,1.1,8.6,1.0,0.5,2.22,0.0,,1.0,13.32,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-25 13:37:16,01/25/2023 01:48:32 PM,N,1.0,97,49,1.0,1.41,11.4,0.0,0.5,3.66,0.0,,0.3,15.86,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
1,2023-01-24 15:29:57,01/24/2023 03:37:58 PM,N,1.0,97,65,1.0,0.6,7.9,0.0,1.5,0.47,0.0,,1.0,9.87,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-11 18:52:00,01/11/2023 07:13:12 PM,N,1.0,25,114,2.0,3.46,21.2,2.5,0.5,6.99,0.0,,1.0,34.94,1.0,1.0,2.75,1,25,Brooklyn,Boerum Hill,Boro Zone
2,2023-01-23 20:49:23,01/23/2023 09:00:47 PM,N,1.0,65,97,1.0,1.5,12.1,1.0,0.5,3.65,0.0,,1.0,18.25,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-25 11:19:19,01/25/2023 11:26:00 AM,N,1.0,33,33,2.0,0.3,5.8,0.0,1.5,0.0,0.0,,1.0,7.3,2.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
1,2023-01-12 14:23:52,01/12/2023 02:49:52 PM,N,1.0,177,97,1.0,0.0,18.2,0.0,1.5,0.0,0.0,,1.0,19.7,1.0,1.0,0.0,1,177,Brooklyn,Ocean Hill,Boro Zone
1,2023-01-17 13:41:58,01/17/2023 02:03:22 PM,N,1.0,155,210,2.0,0.0,17.7,0.0,1.5,0.0,0.0,,1.0,19.2,2.0,1.0,0.0,1,155,Brooklyn,Marine Park/Mill Basin,Boro Zone
1,2023-01-08 18:14:17,01/08/2023 06:31:24 PM,N,1.0,65,188,3.0,2.7,16.3,0.0,1.5,0.0,0.0,,1.0,17.8,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-18 10:22:35,01/18/2023 10:46:26 AM,N,1.0,33,189,1.0,0.0,15.2,0.0,1.5,0.0,0.0,,1.0,16.7,1.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
1,2023-01-04 13:54:30,01/04/2023 02:07:49 PM,N,1.0,33,40,1.0,1.1,10.7,0.0,1.5,2.4,0.0,,1.0,14.6,1.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
2,2023-01-21 21:10:48,01/21/2023 09:42:39 PM,N,1.0,97,26,1.0,9.71,42.9,1.0,0.5,9.08,0.0,,1.0,54.48,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-21 03:37:00,01/21/2023 03:55:00 AM,,,80,209,,6.25,32.36,0.0,0.0,2.0,0.0,,1.0,38.11,,,,1,80,Brooklyn,East Williamsburg,Boro Zone
2,2023-01-09 17:56:13,01/09/2023 06:16:14 PM,N,1.0,33,189,1.0,2.29,19.1,2.5,0.5,4.62,0.0,,1.0,27.72,1.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
1,2023-01-27 18:16:24,01/27/2023 06:42:52 PM,N,1.0,65,148,1.0,0.0,21.2,5.25,1.5,5.55,0.0,,1.0,33.5,1.0,1.0,2.75,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-04 17:47:59,01/04/2023 06:02:17 PM,N,5.0,181,257,2.0,2.13,20.0,0.0,0.0,4.2,0.0,,1.0,25.2,1.0,2.0,0.0,1,181,Brooklyn,Park Slope,Boro Zone
2,2023-01-09 19:30:55,01/09/2023 07:43:20 PM,N,1.0,33,181,1.0,1.49,12.1,2.5,0.5,0.0,0.0,,1.0,16.1,2.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
2,2023-01-17 18:08:03,01/17/2023 06:08:34 PM,N,1.0,49,49,1.0,0.0,3.0,2.5,0.5,10.0,0.0,,1.0,17.0,1.0,1.0,0.0,1,49,Brooklyn,Clinton Hill,Boro Zone
2,2023-01-05 08:07:00,01/05/2023 08:23:00 AM,,,33,67,,7.88,30.74,0.0,0.0,6.35,0.0,,1.0,38.09,,,,1,33,Brooklyn,Brooklyn Heights,Boro Zone
2,2023-01-17 13:10:22,01/17/2023 01:26:35 PM,N,1.0,65,61,1.0,1.97,15.6,0.0,0.5,0.0,0.0,,1.0,17.1,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-13 08:57:16,01/13/2023 09:03:23 AM,N,1.0,210,29,1.0,1.0,7.9,0.0,1.5,0.0,0.0,,1.0,9.4,1.0,1.0,0.0,1,210,Brooklyn,Sheepshead Bay,Boro Zone
2,2023-01-28 13:14:00,01/28/2023 01:44:00 PM,,,61,132,,10.08,37.06,0.0,0.0,5.71,0.0,,1.0,43.77,,,,1,61,Brooklyn,Crown Heights North,Boro Zone
2,2023-01-28 10:02:15,01/28/2023 10:07:31 AM,N,1.0,97,97,2.0,0.71,7.2,0.0,0.5,0.0,0.0,,1.0,8.7,2.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-21 17:33:53,01/21/2023 05:45:30 PM,N,1.0,65,49,1.0,1.83,12.8,0.0,0.5,2.86,0.0,,1.0,17.16,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-06 14:22:17,01/06/2023 02:32:05 PM,N,1.0,97,65,2.0,1.34,9.3,0.0,0.5,0.0,0.0,,1.0,10.8,2.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-20 08:52:00,01/20/2023 09:18:00 AM,,,97,138,,10.96,44.5,0.0,0.0,10.41,6.55,,1.0,62.46,,,,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-20 12:18:22,01/20/2023 12:32:34 PM,N,1.0,61,181,1.0,1.95,13.5,0.0,0.5,3.0,0.0,,1.0,18.0,1.0,1.0,0.0,1,61,Brooklyn,Crown Heights North,Boro Zone
1,2023-01-05 18:28:20,01/05/2023 06:54:19 PM,N,1.0,65,37,1.0,4.0,21.2,2.5,1.5,0.0,0.0,,1.0,25.2,2.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-13 14:12:18,01/13/2023 02:31:25 PM,N,1.0,65,225,1.0,2.7,16.3,0.0,1.5,3.55,0.0,,1.0,21.35,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-21 15:43:00,01/21/2023 04:16:29 PM,N,1.0,65,89,2.0,3.59,30.3,0.0,0.5,0.0,0.0,,0.3,31.1,2.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-18 17:56:49,01/18/2023 06:10:42 PM,N,1.0,97,49,1.0,1.7,12.1,2.5,1.5,3.2,0.0,,1.0,19.3,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-25 17:57:00,01/25/2023 06:17:00 PM,,,89,189,,2.89,20.55,0.0,0.0,4.31,0.0,,1.0,25.86,,,,1,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
2,2023-01-14 11:29:37,01/14/2023 12:01:47 PM,N,1.0,181,141,1.0,9.95,44.3,0.0,0.5,9.71,0.0,,1.0,58.26,1.0,1.0,2.75,1,181,Brooklyn,Park Slope,Boro Zone
2,2023-01-19 14:31:00,01/19/2023 02:51:00 PM,,,65,225,,3.47,23.56,0.0,0.0,4.91,0.0,,1.0,29.47,,,,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-17 19:11:18,01/17/2023 07:21:12 PM,N,1.0,65,97,2.0,1.2,9.3,2.5,1.5,0.0,0.0,,1.0,13.3,2.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
2,2023-01-25 22:41:01,01/25/2023 10:49:49 PM,N,1.0,55,55,1.0,1.02,10.0,1.0,0.5,0.0,0.0,,1.0,12.5,2.0,1.0,0.0,1,55,Brooklyn,Coney Island,Boro Zone
